painel,rotulo_projeto,LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,STATUS,EXAMPLE_UCUM_UNITS,COMMON_TEST_RANK,ptBR_COMPONENT,ptBR_PROPERTY,ptBR_TIME_ASPCT,ptBR_SYSTEM,ptBR_SCALE_TYP,ptBR_METHOD_TYP,ptBR_SHORTNAME,ptBR_RELATEDNAMES2
Hemograma,Hemoglobina,718-7,Hemoglobin [Mass/volume] in Blood,Hgb Bld-mCnc,Hemoglobin (Bld) [Mass/Vol],Hemoglobin,MCnc,Pt,Bld,Qn,,HEM/BC,ACTIVE,g/dL,17,Hemoglobina,MCnc,Pt,SgTotal,Qn,,Hgb Sg-mCnc,; Hgb; Hb; Haemoglobin; Mass concentration; Level; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,Hematocrito,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Hct VFr Bld Auto,Hematocrit Auto (Bld) [Volume fraction],Erythrocyte/Blood,VFr,Pt,Bld,Qn,Automated count,HEM/BC,ACTIVE,%,28,Hematócrito,VFr,Pt,SgTotal,Qn,Contagem automática,Hct Fr Sg Auto,; Hct; PCV; Fr; Volume fraction; Volfr; Percent; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; Auto; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,Eritrocitos,26453-1,Erythrocytes [#/volume] in Blood,RBC # Bld,RBC (Bld) [#/Vol],Erythrocytes,NCnc,Pt,Bld,Qn,,HEM/BC,ACTIVE,10*6/uL,99,Eritrócitos,NCnc,Pt,SgTotal,Qn,,RBC # Sg,; RBC; Red blood corpusles; Red blood corpuscle; Erthrocyte; Erythrocyte; Red blood cell; Red cell; Red cells; Discocytes; Red blood cells; RBCS; #; Number concentration; Count/mass; Count; AcS; CT; Acsolute; Acsolutes; Cnt; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,Leucocitos,26464-8,Leukocytes [#/volume] in Blood,WBC # Bld,WBC (Bld) [#/Vol],Leukocytes,NCnc,Pt,Bld,Qn,,HEM/BC,ACTIVE,10*3/uL,68,Leucócitos,NCnc,Pt,SgTotal,Qn,,Leucoc # Sg,; Leucoc; White blood cell; Leuc; Leuk; Leukocyte; Lkcs; White blood cells; Leucocs; #; Number concentration; Count/mass; Count; AcS; CT; Acsolute; Acsolutes; Cnt; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,Plaquetas,26515-7,Platelets [#/volume] in Blood,Platelet # Bld,Platelets (Bld) [#/Vol],Platelets,NCnc,Pt,Bld,Qn,,HEM/BC,ACTIVE,10*3/uL,71,Plaquetas,NCnc,Pt,SgTotal,Qn,,plaqueta # Sg,; Platelet; Plt; Thrombocytes; Platelt; Thrb; Thrombocyte; #; Number concentration; Count/mass; Count; AcS; CT; Acsolute; Acsolutes; Cnt; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS; Platelet count
Hemograma,VCM,30428-7,MCV [Entitic mean volume] in Red Blood Cells,MCV RBC,MCV (RBC) [Entitic mean vol],Observation,EntMeanVol,Pt,RBC,Qn,,HEM/BC,ACTIVE,fL,97,Volume Corpuscular Médio do eritrócito,EntVol,Pt,Eritroc,Qn,,MCV RBC,; Vol; MCV; Erythrocytes; Red blood corpusles; Red blood corpuscle; Red blood cell; Red cell; Red cells; Discocyte; Erc; Red blood cells; Entitic volume; Point in time; Random; Quantitative; QNT; Quant; Quan; Average; Avg; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,HCM,28539-5,MCH [Entitic mass],MCH RBC Qn,MCH (RBC) [Entitic mass],Hemoglobin,EntMass,Pt,RBC,Qn,,HEM/BC,ACTIVE,pg,104,Hemoglobina eritrocitária Corpuscular Média,EntMass,Pt,Eritroc,Qn,,MCH RBC Qn,; Hgb; Hb; Haemoglobin; MCH; Erythrocytes; Red blood corpusles; Red blood corpuscle; Red blood cell; Red cell; Red cells; Discocyte; Erc; Red blood cells; Entitic mass; Point in time; Random; Quantitative; QNT; Quant; Quan; Average; Avg; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,CHCM,28540-3,MCHC [Entitic Mass/volume] in Red Blood Cells,MCHC RBC-EntMCnc,MCHC (RBC) [Entitic Mass/Vol],Hemoglobin,EntMCnc,Pt,RBC,Qn,,HEM/BC,ACTIVE,g/dL,113,Concentração de Hemoglobina eritrocitária Corpuscular Média,MCnc,Pt,Eritroc,Qn,,MCHC RBC-mCnc,; Hgb; Hb; Haemoglobin; MCHC; MCH; Erythrocytes; Red blood corpusles; Red blood corpuscle; Red blood cell; Red cell; Red cells; Discocyte; Erc; Red blood cells; Mass concentration; Level; Point in time; Random; Quantitative; QNT; Quant; Quan; Average; Avg; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Hemograma,RDW,30385-9,Erythrocyte [DistWidth] in Blood,Erythrocyte DistWidth Bld,Erythrocyte (Bld) [DistWidth],Erythrocyte,DistWidth,Pt,Bld,Qn,,HEM/BC,ACTIVE,%,96,Amplitude de distribuição do tamanho dos eritrócitos,Ratio,Pt,Eritroc,Qn,,RDW RBC-Rto,; RDW; Erythrocyte morphology index; RCMI; Erythrocytes; Red blood corpusles; Red blood corpuscle; Red blood cell; Red cell; Red cells; Discocyte; Erc; Red blood cells; Rto; Point in time; Random; Quantitative; QNT; Quant; Quan; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS; RDW-CV
Hemograma,Neutrofilos (absoluto),26499-4,Neutrophils [#/volume] in Blood,Neutrophils # Bld,Neutrophils (Bld) [#/Vol],Neutrophils,NCnc,Pt,Bld,Qn,,HEM/BC,ACTIVE,10*3/uL,118,Neutrófilos,NCnc,Pt,SgTotal,Qn,,Neutrophils # Sg,PNM; Neutrophil; Neutr; PMN; Neut; #; Number concentration; Count/mass; Count; AcS; CT; Acsolute; Acsolutes; Cnt; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
